,0
Topic 38,0.309503156533
Topic 40,0.673309200612
Topic 25,2.33838896211
Topic 24,0.309503156533
Topic 27,1.51315103991
Topic 26,2.43943743135
Topic 21,0.309503156533
Topic 20,1.40849833047
Topic 23,2.00158851321
Topic 22,0.969952865823
Topic 29,1.13768890053
Topic 28,1.42538220005
Topic 43,0.309503156533
Topic 42,1.66098094712
Topic 41,3.30849591182
Topic 39,0.309503156533
Topic 47,0.309503156533
Topic 46,1.78660462798
Topic 45,0.309503156533
Topic 44,0.872217894416
Topic 49,0.309503156533
Topic 48,0.758716364727
Topic 8,1.84387533022
Topic 9,1.26422733411
Topic 2,0.836146959534
Topic 3,0.723700331921
Topic 0,0.309503156533
Topic 1,2.19714762646
Topic 6,1.8695277415
Topic 7,1.1740547125
Topic 4,0.699427786866
Topic 5,2.33191482899
Topic 32,61.7943514266
Topic 33,1.98051797743
Topic 30,2.52429496133
Topic 31,1.00821691214
Topic 18,0.58601406639
Topic 19,1.53842163597
Topic 34,1.53891377496
Topic 35,1.36824696955
Topic 14,1.3866656063
Topic 15,0.309503156533
Topic 16,2.69087787965
Topic 17,3.42996049926
Topic 10,0.881357776168
Topic 11,0.700610719744
Topic 12,0.309503156533
Topic 13,0.309503156533
Topic 36,0.775858226173
Topic 37,0.847217847654
